Asset,Time
A403193,137
A403193,146
A403193,155
A403193,229
A403193,420
A403193,544
A403193,652
A617958,116
A617958,547
A617958,594
A617958,710
A531932,54
A531932,221
A531932,257
A531932,274
A531932,290
A531932,296
A531932,326
A531932,441
A531932,482
A531932,563
A531932,649
A531932,655
A531932,684
A242376,345
A242376,414
A242376,521
A242376,651
A650572,124
A650572,261
A650572,436
A650572,555
A650572,685
A180615,92
A180615,148
A180615,187
A180615,224
A180615,286
A180615,347
A603228,34
A603228,121
A603228,295
A603228,651
A988606,392
A988606,487
A988606,561
A183204,198
A183204,370
A183204,469
A124878,59
A124878,154
A124878,196
A124878,268
A124878,287
A124878,325
A124878,551
A124878,621
A764985,155
A764985,210
A764985,212
A764985,223
A764985,251
A764985,484
A764985,663
A678003,64
A678003,142
A678003,506
A678003,600
A678003,641
A678003,719
A421652,378
A421652,403
A421652,474
A421652,519
A421652,544
A421652,648
A125623,149
A125623,196
A125623,270
A125623,567
A125623,681
A125623,712
A305613,239
A305613,299
A305613,335
A305613,392
A305613,482
A305613,587
A305613,694
A654809,97
A654809,295
A654809,393
A654809,419
A654809,627
A654809,730
A558889,23
A558889,134
A558889,178
A558889,707
A097170,96
A097170,240
A097170,389
A097170,598
A097170,675
A097170,691
A640947,49
A640947,153
A640947,450
A465075,58
A465075,170
A465075,498
A210324,31
A210324,160
A210324,375
A210324,653
A699738,414
A699738,523
A704888,17
A704888,51
A704888,249
A704888,428
A704888,440
A704888,454
A704888,478
A704888,504
A704888,553
A105614,1
A105614,73
A105614,86
A105614,170
A105614,205
A105614,233
A105614,577
A105614,713
A558858,30
A558858,31
A558858,59
A558858,229
A558858,251
A558858,260
A558858,294
A558858,304
A558858,457
A558858,650
A558858,664
A558858,692
A112094,230
A112094,286
A112094,523
A112094,554
A112094,603
A112094,664
A112094,674
A737807,3
A737807,58
A737807,175
A737807,212
A737807,412
A737807,635
A737807,653
A737807,678
A737807,679
A737807,705
A301854,254
A301854,271
A301854,273
A301854,307
A301854,356
A301854,495
A521377,135
A521377,280
A521377,493
A521377,708
A920271,61
A920271,69
A920271,140
A920271,312
A920271,328
A920271,377
A920271,396
A920271,402
A920271,417
A920271,420
A920271,427
A920271,542
A298902,142
A298902,520
A298902,540
A298902,546
A298902,559
A373145,44
A373145,234
A373145,282
A373145,365
A373145,562
A373145,566
A373145,575
A373145,593
A712075,46
A712075,58
A712075,191
A712075,311
A712075,383
A712075,515
A712075,564
A712075,592
A521002,106
A521002,200
A521002,530
A356393,82
A356393,216
A356393,264
A356393,427
A356393,528
A356393,544
A356393,545
A356393,684
A671923,52
A671923,112
A671923,138
A671923,143
A315112,63
A315112,444
A315112,512
A784870,17
A784870,610
A784870,617
A784870,628
A784870,689
A166185,44
A166185,52
A166185,104
A166185,196
A166185,221
A166185,254
A166185,257
A166185,710
A439865,66
A439865,301
A439865,302
A439865,318
A439865,388
A439865,454
A439865,501
A439865,554
A439865,584
A439865,608
A439865,614
A439865,682
A657758,58
A657758,78
A657758,470
A657758,540
A657758,588
A657758,594
A657758,612
A657758,723
A991622,50
A991622,168
A991622,278
A991622,454
A991622,485
A991622,564
A991622,574
A866898,30
A866898,90
A866898,115
A866898,117
A866898,205
A866898,301
A866898,316
A866898,570
A866898,640
A944044,13
A944044,23
A944044,31
A944044,195
A944044,719
A645265,460
A645265,617
A888026,61
A888026,267
A888026,373
A888026,469
A888026,587
A888026,695
A888026,703
A888026,705
A996817,5
A996817,307
A996817,439
A087012,267
A087012,308
A087012,324
A087012,326
A087012,351
A087012,446
A087012,526
A087012,605
A087012,608
A321141,34
A321141,225
A321141,394
A321141,502
A321141,567
A682371,501
A837484,81
A837484,348
A837484,568
A837484,582
A837484,651
A958844,31
A958844,727
A552524,22
A552524,132
A552524,148
A552524,199
A552524,231
A552524,244
A552524,418
A072341,365
A072341,580
A072341,606
A072341,618
A153912,141
A153912,480
A153912,595
A318624,50
A318624,72
A318624,81
A318624,102
A318624,216
A092462,255
A092462,381
A092462,533
A092462,567
A697472,53
A697472,142
A697472,294
A697472,500
A697472,540
A697472,677
A057233,75
A057233,130
A057233,147
A057233,158
A057233,244
A057233,413
A057233,418
A057233,571
A752282,270
A752282,281
A752282,528
A752282,543
A752282,565
A752282,625
A129627,250
A129627,444
A129627,686
A327303,234
A327303,271
A885442,241
A885442,316
A885442,523
A062079,0
A062079,95
A062079,110
A062079,392
A062079,683
A040943,110
A040943,243
A943170,34
A943170,129
A943170,167
A943170,211
A943170,212
A943170,223
A943170,227
A943170,231
A943170,250
A943170,258
A943170,272
A943170,390
A943170,555
A943170,709
A897883,22
A897883,620
A107046,100
A107046,500
A107046,548
A776175,218
A776175,233
A776175,298
A776175,338
A776175,650
A351418,51
A351418,542
A432811,93
A432811,164
A432811,217
A432811,340
A432811,498
A432811,523
A432811,641
A432811,665
A760193,51
A658977,72
A658977,126
A658977,179
A658977,375
A658977,407
A658977,441
A658977,503
A658977,573
A658977,592
A356779,563
A115725,120
A115725,163
A115725,538
A115725,615
A998861,243
A998861,328
A998861,414
A399220,76
A399220,239
A399220,259
A399220,260
A399220,270
A399220,271
A399220,298
A399220,369
A399220,419
A399220,480
A399220,675
A399220,684
A399220,700
A457170,150
A457170,154
A457170,181
A457170,190
A457170,199
A457170,210
A457170,249
A457170,260
A457170,338
A457170,356
A457170,386
A457170,544
A966262,31
A966262,92
A966262,136
A966262,155
A966262,172
A966262,188
A966262,502
A966262,636
A966262,693
A728299,695
A976192,105
A976192,174
A976192,366
A745705,129
A745705,316
A745705,538
A745705,692
A674763,26
A674763,58
A674763,118
A674763,407
A674763,705
A694094,31
A694094,62
A694094,463
A694094,717
A340894,110
A340894,397
A340894,657
A751024,57
A751024,69
A751024,224
A751024,256
A751024,567
A291959,76
A291959,227
A291959,324
A291959,342
A291959,464
A291959,477
A401118,127
A401118,253
A401118,254
A401118,351
A000204,92
A000204,128
A000204,146
A000204,165
A000204,193
A000204,377
A000204,521
A000204,652
A000204,687
A811559,18
A811559,35
A811559,97
A811559,124
A811559,374
A811559,561
A811559,573
A891841,51
A891841,69
A891841,141
A891841,235
A891841,283
A891841,694
A421448,222
A421448,235
A421448,276
A421448,540
A421448,682
A421448,683
A121855,10
A121855,127
A121855,136
A121855,151
A121855,181
A121855,448
A805199,9
A805199,45
A805199,154
A805199,324
A805199,373
A805199,571
A502861,85
A502861,475
A502861,497
A502861,681
A401996,133
A401996,171
A401996,186
A401996,188
A401996,199
A556731,11
A556731,232
A556731,301
A556731,691
A556731,700
A274757,168
A274757,180
A274757,204
A274757,270
A274757,277
A274757,422
A274757,506
A274757,593
A991069,70
A991069,86
A991069,554
A372945,559
A791069,34
A791069,194
A791069,251
A791069,549
A401611,224
A401611,261
A401611,279
A401611,628
A401611,697
A401611,698
A455715,29
A455715,91
A455715,140
A455715,157
A455715,170
A455715,178
A455715,392
A455715,424
A455715,455
A455715,512
A455715,639
A776990,35
A776990,82
A776990,96
A776990,145
A776990,174
A776990,283
A776990,441
A776990,722
A010961,180
A010961,198
A010961,207
A010961,216
A010961,217
A010961,223
A010961,257
A010961,258
A010961,310
A010961,335
A010961,463
A010961,528
A630854,2
A630854,280
A630854,365
A630854,502
A630854,538
A630854,642
A630854,644
A412672,5
A412672,357
A412672,510
A412672,535
A785923,141
A785923,289
A785923,372
A785923,436
A785923,546
A785923,600
A232620,268
A232620,284
A232620,290
A232620,322
A232620,373
A232620,471
A232620,525
A232620,569
A232620,608
A232620,709
A675172,57
A675172,625
A702499,53
A702499,137
A702499,371
A702499,405
A702499,730
A458713,100
A458713,174
A458713,179
A458713,194
A458713,224
A458713,283
A458713,295
A458713,355
A458713,478
A458713,677
A458713,703
A130776,32
A130776,144
A130776,211
A130776,401
A130776,730
A430405,8
A430405,26
A430405,569
A334446,67
A334446,108
A334446,143
A334446,212
A334446,238
A334446,641
A334446,684
A062417,184
A062417,302
A062417,532
A062417,571
A062417,599
A062417,604
A722434,705
A660658,376
A660658,469
A660658,506
A660658,524
A087766,16
A087766,184
A087766,258
A087766,308
A087766,339
A087766,345
A087766,544
A087766,608
A472893,32
A472893,45
A472893,86
A472893,96
A472893,415
A384294,167
A384294,271
A384294,436
A384294,712
A820426,208
A820426,381
A820426,603
A168410,140
A168410,198
A168410,204
A168410,206
A662262,184
A662262,268
A662262,478
A662262,636
A662262,680
A129740,201
A129740,227
A129740,249
A129740,257
A129740,271
A129740,351
A129740,507
A129740,724
A692301,29
A692301,65
A692301,128
A692301,682
A692301,698
A692301,718
A607688,570
A683140,22
A683140,77
A683140,364
A683140,382
A683140,478
A683140,488
A683140,699
A652686,113
A652686,523
A228933,3
A228933,312
A228933,407
A228933,608
A228933,632
A633829,351
A633829,478
A633829,613
A633829,614
A669815,148
A669815,176
A669815,183
A669815,389
A669815,448
A669815,541
A821793,5
A821793,71
A821793,133
A821793,216
A821793,250
A821793,601
A821793,608
A821793,638
A085059,31
A085059,73
A085059,150
A085059,565
A085059,586
A085059,707
A199583,179
A199583,187
A199583,232
A199583,641
A337095,48
A337095,421
A337095,706
A337095,719
A735718,429
A835644,8
A835644,83
A835644,230
A835644,282
A835644,329
A835644,421
A835644,574
A460378,122
A460378,191
A460378,198
A460378,227
A460378,232
A460378,267
A460378,314
A460378,525
A614550,76
A614550,177
A288494,50
A288494,124
A288494,194
A288494,195
A288494,372
A288494,547
A288494,563
A288494,568
A288494,598
A288494,609
A288494,622
A288494,642
A288494,667
A288494,669
A288494,703
A288494,720
A998987,23
A998987,79
A998987,142
A998987,173
A998987,199
A998987,276
A998987,331
A998987,440
A998987,522
A181995,53
A181995,93
A181995,229
A181995,365
A181995,426
A181995,491
A621127,119
A621127,508
A621127,509
A621127,692
A621127,710
A621127,727
A492446,180
A492446,221
A492446,247
A492446,367
A492446,451
A616542,72
A616542,239
A616542,462
A455248,92
A455248,560
A455248,707
A214004,54
A214004,109
A214004,180
A808886,38
A808886,122
A808886,192
A808886,261
A808886,445
A808886,465
A808886,555
A485912,433
A485912,539
A384490,444
A384490,460
A384490,662
A426051,61
A426051,118
A426051,242
A426051,588
A215194,45
A215194,67
A215194,311
A850751,7
A850751,97
A850751,218
A850751,515
A850751,547
A498439,66
A498439,85
A498439,103
A498439,243
A498439,276
A498439,394
A498439,484
A086682,14
A086682,73
A086682,256
A086682,267
A086682,441
A086682,544
A086682,582
A989821,3
A989821,10
A989821,89
A989821,94
A989821,101
A989821,108
A989821,184
A989821,190
A989821,242
A989821,508
A989821,660
A989821,718
A963278,233
A963278,302
A963278,492
A963278,565
A963278,622
A445999,232
A445999,491
A445999,550
A445999,603
A020732,645
A020732,657
A020732,688
A469088,428
A469088,435
A469088,523
A469088,566
A907940,41
A907940,87
A907940,413
A907940,561
A907940,672
A546754,197
A546754,217
A546754,228
A546754,251
A546754,278
A546754,292
A546754,317
A546754,466
A546754,469
A546754,491
A546754,530
A546754,537
A546754,547
A546754,608
A546754,621
A546754,672
A546754,675
A473254,96
A473254,263
A473254,321
A473254,523
A473254,554
A626746,69
A626746,159
A626746,459
A626746,527
A626746,566
A832283,124
A832283,414
A521146,43
A521146,85
A521146,113
A521146,210
A521146,435
A521146,488
A521146,528
A521146,709
A521146,710
A955584,32
A955584,84
A955584,96
A955584,277
A955584,293
A955584,531
A955584,563
A955584,718
A955584,725
A567553,30
A567553,168
A567553,301
A643006,11
A643006,40
A643006,70
A643006,143
A643006,173
A643006,452
A643006,471
A643006,606
A090781,129
A090781,180
A090781,257
A090781,598
A090781,699
A593859,316
A593859,338
A593859,425
A593859,511
A593859,710
A775295,18
A775295,46
A775295,111
A775295,178
A775295,245
A404754,63
A404754,100
A404754,123
A404754,262
A404754,277
A287946,254
A287946,255
A287946,450
A287946,452
A287946,486
A287946,515
A287946,525
A299224,35
A299224,387
A299224,541
A299224,592
A660562,228
A660562,247
A660562,258
A660562,398
A660562,485
A251284,3
A251284,19
A251284,79
A251284,270
A251284,459
A251284,574
A251284,654
A778036,92
A778036,157
A778036,319
A778036,520
A601936,241
A601936,433
A601936,687
A527291,64
A527291,150
A527291,272
A527291,377
A527291,509
A527291,541
A527291,598
A527291,713
A364787,167
A364787,193
A364787,345
A364787,427
A364787,465
A859858,65
A859858,516
A046671,65
A046671,283
A046671,289
A000495,6
A000495,113
A000495,141
A000495,232
A000495,513
A467654,33
A467654,150
A467654,223
A467654,378
A467654,490
A467654,504
A467654,605
A630611,28
A630611,72
A630611,320
A630611,622
A630611,670
A804789,13
A804789,71
A804789,193
A804789,221
A804789,250
A804789,726
A212708,86
A212708,284
A212708,663
A107779,143
A107779,179
A107779,229
A107779,490
A107779,666
A272649,13
A272649,136
A272649,278
A272649,351
A272649,436
A272649,476
A272649,488
A272649,490
A272649,578
A869829,168
A869829,201
A869829,221
A869829,235
A869829,258
A869829,259
A869829,506
A869829,576
A869829,681
A877203,153
A877203,163
A877203,165
A877203,320
A877203,321
A877203,512
A877203,549
A877203,556
A877203,566
A980387,260
A980387,294
A980387,329
A980387,446
A980387,518
A980387,678
A573387,186
A573387,670
A482020,117
A482020,181
A482020,256
A482020,401
A482020,519
A482020,552
A482020,683
A666266,226
A666266,449
A666266,471
A124448,0
A124448,80
A124448,233
A124448,386
A124448,501
A124448,601
A124448,614
A254926,100
A254926,297
A254926,416
A254926,500
A254926,559
A821528,28
A821528,136
A821528,220
A821528,231
A821528,263
A821528,264
A821528,336
A821528,512
A296536,164
A296536,410
A938154,0
A938154,186
A938154,385
A938154,516
A938154,546
A938154,625
A938154,706
A938154,719
A503676,155
A503676,185
A503676,191
A503676,381
A503676,557
A503676,604
A661033,74
A661033,538
A166129,163
A166129,547
A166129,570
A790520,261
A790520,262
A790520,374
A790520,420
A790520,635
A798053,24
A798053,296
A798053,501
A798053,640
A798053,691
A254485,72
A254485,287
A254485,342
A254485,455
A254485,512
A254485,704
A220378,85
A220378,146
A220378,183
A220378,186
A220378,478
A220378,574
A220378,640
A220378,649
A434338,198
A434338,290
A434338,296
A434338,307
A434338,543
A434338,583
A475922,69
A475922,375
A475922,707
A914056,92
A914056,163
A914056,231
A914056,248
A914056,392
A914056,519
A914056,589
A914056,633
A884383,236
A884383,346
A884383,427
A884383,469
A884383,474
A884383,596
A884383,606
A884383,659
A877007,2
A877007,190
A877007,252
A877007,257
A877007,300
A877007,531
A180054,329
A180054,347
A180054,401
A335195,202
A335195,222
A335195,459
A335195,486
A180844,37
A180844,241
A180844,431
A180844,635
A180844,666
A180844,681
A180844,717
A106966,150
A106966,235
A106966,457
A106966,470
A106966,539
A106966,575
A106966,582
A106966,585
A265011,5
A265011,52
A265011,76
A265011,85
A265011,162
A265011,192
A265011,255
A265011,265
A265011,652
A265011,703
A415390,545
A693816,358
A693816,493
A693816,595
A693816,606
A313339,119
A313339,137
A313339,168
A367237,123
A367237,172
A367237,189
A367237,199
A367237,210
A367237,233
A367237,248
A367237,274
A367237,360
A367237,383
A367237,490
A367237,597
A367237,701
A595791,21
A595791,71
A595791,115
A595791,712
A515643,122
A515643,606
A816821,144
A816821,526
A816821,610
A816821,684
A816821,693
A339882,25
A339882,34
A339882,81
A339882,274
A339882,384
A339882,402
A339882,584
A339882,624
A339882,651
A571895,31
A571895,391
A571895,443
A571895,467
A923493,123
A923493,190
A923493,236
A923493,258
A923493,278
A923493,413
A923493,491
A923493,493
A923493,524
A923493,632
A060373,18
A060373,49
A060373,91
A060373,106
A060373,495
A060373,601
A060373,690
A886918,52
A886918,397
A886918,399
A886918,400
A886918,546
A886918,592
A983465,78
A983465,187
A983465,250
A983465,439
A983465,470
A983465,501
A983465,550
A983465,676
A983465,707
A983465,726
A254612,27
A254612,241
A254612,310
A254612,449
A254612,547
A077065,61
A077065,109
A077065,343
A077065,396
A077065,539
A077065,567
A077065,582
A077065,604
A077065,631
A232885,4
A002941,38
A002941,195
A002941,261
A002941,443
A002941,464
A002941,471
A002941,476
A002941,507
A002941,617
A002941,630
A555060,34
A555060,55
A555060,397
A555060,412
A555060,678
A541783,129
A541783,331
A860046,292
A860046,365
A860046,397
A860046,417
A860046,543
A860046,564
A860046,568
A860046,654
A860046,670
A860046,690
A860046,721
A029424,4
A029424,191
A029424,197
A029424,255
A029424,367
A029424,553
A029424,638
A611127,89
A611127,119
A611127,185
A611127,204
A611127,349
A611127,462
A611127,496
A611127,545
A611127,564
A611127,584
A010045,307
A010045,479
A010045,480
A010045,501
A010045,600
A010045,655
A326741,6
A326741,49
A326741,484
A326741,497
A326741,504
A326741,681
A326741,685
A326741,688
A204054,105
A204054,313
A204054,389
A204054,433
A204054,571
A789649,1
A789649,369
A789649,437
A789649,693
A517649,19
A517649,202
A517649,322
A517649,422
A517649,599
A517649,655
A014612,52
A014612,199
A830673,32
A830673,91
A830673,105
A830673,432
A830673,553
A065709,655
A065709,688
A628244,206
A628244,346
A628244,402
A628244,483
A628244,590
A423193,290
A423193,295
A423193,369
A423193,417
A423193,473
A423193,598
A423193,626
A423193,633
A423193,640
A423193,659
A423193,709
A423193,715
A328723,185
A328723,245
A328723,246
A328723,270
A328723,381
A328723,455
A328723,571
A328723,680
A328723,729
A664052,169
A664052,178
A664052,381
A664052,539
A664052,669
A664052,722
A445246,428
A445246,458
A445246,490
A445246,568
A445246,594
A303025,9
A303025,38
A303025,187
A174613,91
A174613,573
A668856,14
A668856,587
A303019,1
A303019,12
A303019,60
A303019,162
A303019,175
A303019,201
A303019,205
A303019,555
A464724,40
A464724,44
A464724,210
A464724,486
A838397,83
A838397,229
A838397,438
A838397,625
A098790,159
A098790,239
A098790,436
A098790,669
A780171,72
A780171,556
A780171,631
A780171,636
A780171,650
A780171,677
A780171,722
A809797,29
A809797,101
A809797,138
A809797,156
A809797,305
A809797,452
A809797,530
A364556,10
A364556,118
A364556,187
A364556,205
A364556,483
A364556,493
A364556,585
A688197,180
A688197,210
A688197,224
A688197,393
A688197,410
A688197,577
A070229,471
A632611,188
A632611,218
A632611,245
A632611,426
A516044,10
A516044,229
A516044,237
A516044,291
A516044,710
A963330,23
A963330,660
A863424,154
A863424,224
A863424,225
A863424,389
A863424,479
A863424,670
A320256,224
A320256,431
A921347,178
A921347,279
A921347,333
A921347,538
A921347,613
A393720,203
A393720,209
A393720,303
A393720,558
A393720,645
A393720,691
A321665,253
A321665,254
A321665,434
A321665,525
A321665,527
A321665,609
A494734,85
A494734,196
A494734,409
A494734,450
A494734,456
A494734,497
A494734,566
A494734,658
A494734,671
A494734,717
A528828,46
A528828,89
A528828,280
A528828,368
A528828,548
A528828,713
A864777,375
A864777,641
A586375,138
A586375,248
A586375,630
A586375,638
A586375,662
A586375,674
A398801,166
A398801,181
A398801,195
A398801,238
A398801,437
A398801,446
A398801,500
A517489,194
A517489,275
A162255,49
A162255,206
A162255,257
A162255,349
A162255,374
A162255,441
A361501,289
A361501,363
A472914,375
A472914,412
A472914,555
A472914,698
A094431,278
A094431,298
A094431,333
A094431,483
A979167,57
A979167,119
A979167,149
A979167,212
A979167,356
A979167,407
A979167,478
A979167,597
A979167,648
A979167,666
A642766,60
A642766,336
A642766,396
A677209,234
A677209,240
A677209,277
A677209,333
A677209,560
A347083,92
A347083,356
A770389,60
A770389,64
A770389,138
A770389,159
A770389,273
A770389,485
A770389,628
A770389,642
A207920,11
A207920,125
A207920,212
A207920,324
A207920,466
A207920,477
A207920,481
A207920,511
A207920,679
A863036,7
A863036,18
A863036,123
A863036,146
A863036,539
A863036,550
A943615,16
A943615,127
A943615,175
A943615,314
A943615,449
A943615,587
A943615,648
A661308,25
A661308,37
A661308,260
A661308,310
A661308,588
A661308,704
A420270,23
A420270,321
A420270,512
A420270,590
A202037,28
A202037,501
A259114,5
A259114,51
A259114,103
A259114,145
A259114,220
A259114,243
A259114,251
A259114,252
A259114,263
A259114,641
A884222,144
A884222,248
A884222,268
A884222,648
A884222,649
A297745,419
A297745,508
A297745,564
A210011,313
A210011,340
A210011,379
A210011,427
A210011,442
A210011,469
A210011,479
A210011,498
A210011,538
A210011,573
A210011,604
A210011,651
A443578,356
A443578,601
A339540,3
A339540,167
A339540,497
A339540,515
A339540,629
A339540,662
A339540,697
A945686,96
A945686,389
A945686,501
A945686,503
A945686,651
A945686,665
A427987,73
A427987,106
A427987,302
A427987,429
A427987,434
A427987,718
A367785,207
A367785,271
A367785,285
A367785,628
A367785,676
A500341,43
A500341,116
A500341,146
A500341,267
A500341,569
A682149,218
A682149,379
A682149,566
A682149,626
A896356,32
A896356,168
A896356,445
A896356,453
A896356,468
A060921,234
A060921,357
A060921,568
A024929,169
A024929,188
A024929,430
A024929,491
A024929,497
A024929,533
A024929,545
A360756,94
A360756,109
A360756,371
A360756,559
A360756,668
A135851,148
A135851,178
A135851,195
A135851,283
A135851,317
A158516,29
A158516,58
A158516,242
A273333,44
A273333,182
A273333,236
A273333,435
A273333,711
A942268,35
A942268,383
A942268,603
A942268,682
A942268,725
A060723,32
A060723,124
A060723,175
A060723,576
A060723,636
A707786,11
A707786,112
A707786,151
A707786,185
A707786,530
A707786,623
A707786,714
A707786,730
A568411,99
A568411,232
A568411,248
A568411,305
A568411,578
A568411,730
A614261,27
A614261,113
A614261,189
A614261,228
A614261,385
A614261,407
A614261,653
A614261,694
A614261,728
A030353,31
A030353,56
A030353,87
A030353,191
A030353,333
A030353,513
A030353,674
A030353,690
A030353,709
A710483,276
A710483,343
A710483,508
A710483,579
A591561,17
A591561,189
A591561,508
A591561,519
A591561,683
A674316,479
A674316,611
A674316,668
A918394,101
A918394,272
A918394,420
A918394,578
A654616,325
A461775,140
A063997,240
A063997,609
A063997,720
A068680,4
A068680,161
A068680,260
A068680,449
A068680,647
A068680,661
A409444,227
A409444,346
A409444,590
A409444,665
A347883,590
A872701,8
A872701,344
A872701,423
A228365,500
A228365,621
A530349,1
A530349,86
A530349,228
A530349,345
A530349,507
A530349,699
A411995,22
A411995,79
A411995,295
