Asset,Time,Use
A403193,5,31194.652034284285
A403193,17,31223.53635450393
A403193,56,31362.706261016774
A403193,124,31701.44056177445
A403193,144,31724.489665788107
A403193,150,31732.65896847649
A403193,151,31735.868337389784
A403193,162,31741.703553595773
A403193,163,31744.621161698768
A403193,185,31800.930998086566
A403193,230,31918.51060463725
A403193,234,31931.348080290423
A403193,392,32427.633218609808
A403193,490,32740.98432887143
A403193,490,32741.85961130233
A403193,550,32941.71576635746
A403193,552,32947.55098256345
A403193,595,33095.76547419558
A403193,607,33131.65205386241
A403193,654,33243.10468339681
A403193,665,33284.53471845933
A617958,5,33558.49811933052
A617958,5,33559.08164095112
A617958,100,33769.441185177035
A617958,122,33809.41241618806
A617958,210,34039.319934704035
A617958,210,34039.90345632463
A617958,248,34101.17322648752
A617958,248,34101.46498729782
A617958,370,34433.19702860831
A617958,471,34691.69710653363
A617958,551,34834.65990358037
A617958,597,34879.29930755618
A617958,603,34891.84502239906
A617958,603,34892.42854401966
A617958,714,35098.70343690138
A617958,724,35099.28695852198
A531932,77,33641.06642864527
A531932,230,33914.446307895865
A531932,253,33934.577803806525
A531932,254,33937.203651099226
A531932,255,33938.07893353012
A531932,262,33939.82949839192
A531932,275,33979.800729402945
A531932,276,33981.55129426474
A531932,292,33998.47342126211
A531932,294,34001.9745509857
A531932,298,34003.4333550372
A531932,300,34006.64272395049
A531932,310,34018.60491717277
A531932,312,34023.27309013756
A531932,329,34060.32671304559
A531932,363,34150.77256423843
A531932,435,34406.93855568136
A531932,485,34498.55145011539
A531932,572,34764.0537874879
A531932,577,34777.76654557197
A531932,612,34913.72708317152
A531932,616,34916.93645208482
A531932,620,34928.02336287619
A531932,622,34934.442100702785
A531932,650,34976.45565738591
A531932,661,34981.999112781596
A531932,669,35005.04821679525
A531932,685,35038.89247078999
A242376,30,33689.79048396528
A242376,31,33692.124570447675
A242376,205,34221.3786803309
A242376,350,34606.211189115886
A242376,351,34608.837036408586
A242376,390,34704.53458218681
A242376,599,35473.61607813619
A242376,653,35627.9575467846
A650572,129,33810.28769861896
A650572,136,33826.334543185425
A650572,228,34121.59648320849
A650572,257,34188.11794795676
